n,limit,results,mean,std
1000,1000,1000,0.053311616499999964,0.010034410343490993
1000,2000,2000,0.05708170860000012,0.017388204114163898
1000,3000,3000,0.0635134223000004,0.017744576230898017
1000,4000,4000,0.06893428890000056,0.02746049475976043
1000,5000,5000,0.07407993629999973,0.019131927898387045
1000,6000,6000,0.07952628890000056,0.017636604195024216
1000,7000,7000,0.08768177569999898,0.02571719612649323
1000,8000,8000,0.11081700410000031,0.05867910448805201
1000,9000,9000,0.10819931950000079,0.026899519455340186
1000,10000,10000,0.11513398020000261,0.02573314562421762
1000,11000,11000,0.09092080950000105,0.019650932143451077
1000,12000,12000,0.09476282949999949,0.03170043064205734
1000,13000,13000,0.0924401275999985,0.017114381596565146
1000,14000,14000,0.09365063850000252,0.04984954267553266
1000,15000,15000,0.11175311810000085,0.037626277248030304
1000,16000,16000,0.10287382290000027,0.03762999551028528
1000,17000,17000,0.09103427119999992,0.011353587062991045
1000,18000,18000,0.09547867470000188,0.010937021011970579
1000,19000,19000,0.0988979910000014,0.011149136299810555
1000,20000,20000,0.12071623140000111,0.08089992560354749
1000,21000,21000,0.10624661329999867,0.012208247536524634
1000,22000,22000,0.10792525270000215,0.01265211598134827
1000,23000,23000,0.10889636470000096,0.012350273321565094
1000,24000,24000,0.12368709879999643,0.03037515542396959
1000,25000,25000,0.13724752230000148,0.054446105660868646
1000,26000,26000,0.1616995975999912,0.02662498343426678
1000,27000,27000,0.25714015030000476,0.15723242884202518
1000,28000,28000,0.1777481830000079,0.038457401897390164
1000,29000,29000,0.18335464779999894,0.02528524865877233
1000,30000,30000,0.189337083900004,0.027786912500645886
